,0
0,0.15851226
1,0.05704071
2,0.122681126
3,0.00081385026
4,0.00076720206
5,0.00065163244
6,0.014795656
7,0.00074895076
8,0.0011450355
9,0.00059892255
10,0.044952944
11,0.023389747
12,0.0724249
13,0.0011033528
14,0.0004992112
15,0.005618007
16,0.0059192763
17,0.003869604
18,0.0018372679
19,0.008528782
20,0.0336165
21,0.0034996134
22,0.0018121729
23,0.0035382472
24,0.022564402
25,0.016473817
26,0.0013031266
27,0.0011796121
28,0.0016206846
29,0.00054532493
30,0.0
31,0.00050145976
32,0.0020018069
33,0.0011506341
34,0.00014048365
35,0.000490423
36,0.0033036456
37,0.00031974065
38,0.0010164167
39,0.00021857777
40,0.001508641
41,0.057345353
42,0.037888028
43,0.0
44,0.00050322496
45,0.0838388
46,0.0
47,0.0
48,0.0
49,0.0076369112
50,0.0038655999
51,0.0047872276
52,0.026124876
53,0.0003830798
54,9.4126095e-05
55,0.00032283037
56,0.0002755096
57,0.0007818842
58,0.0007892888
59,0.00042009752
60,0.0012388346
61,0.0009442306
62,0.01992188
63,0.0003382398
64,0.00072534214
65,0.00033387236
66,0.00027524572
67,0.00041711322
68,9.242313e-05
69,0.0005274455
70,0.0006435596
71,0.00017908473
72,0.00031687118
73,0.00043345307
74,0.0005174584
75,0.00045456665
76,0.038581397
77,0.00040646797
78,0.0
79,0.00048191793
80,0.0034920394
81,0.0
82,0.0003810476
83,0.0004328324
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0003507234
90,0.0
91,0.00024054301
92,0.0006625338
93,6.5813954e-05
94,0.00793479
95,0.00024793638
96,0.0015452334
97,0.00052034465
98,0.0010728578
99,0.00048104266
100,0.0017526838
101,0.00023362298
102,0.019464126
103,0.0062262677
104,0.0005030534
105,0.0004114938
106,0.00060910784
107,0.001539813
108,0.00045404045
109,0.0029079055
110,0.00068711565
111,0.00020218658
112,0.0020723525
113,0.0022221925
114,0.0008981986
115,0.0052620056
116,0.0004119703
117,0.00030433867
118,0.0006621685
119,0.0006014938
120,0.0011261593
121,0.0009833492
122,0.0017128104
123,0.0004546182
124,0.00028084856
125,0.003140019
126,0.0054128515
127,0.000376804
128,0.0
129,9.851017e-05
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0006148837
157,0.0004341124
158,0.00059048703
159,0.00029695508
160,0.000622572
161,0.0007472667
162,0.0006064222
163,0.0009330602
164,0.00059370155
165,0.0004893641
166,0.000351592
167,0.00035016867
168,0.00033956562
