,feat_name,imp
109,sensor9_rolling_variance_20,0.002944812048950311
110,sensor11_rolling_variance_20,0.0014512693168190621
111,sensor12_rolling_variance_20,0.00043870265181845264
112,sensor13_rolling_variance_20,0.0007911726209079911
113,sensor14_rolling_variance_20,0.00206337349907714
114,sensor17_rolling_variance_20,0.00017251750786661298
115,sensor20_rolling_variance_20,0.000559820225180642
116,sensor21_rolling_variance_20,0.00042909854173823505
117,sensor2_time_reversal_asymmetry_window_20_lag_5,0.00012092877189173986
118,sensor3_time_reversal_asymmetry_window_20_lag_5,0.00018924937177375697
119,sensor4_time_reversal_asymmetry_window_20_lag_5,3.301873354810481e-05
120,sensor7_time_reversal_asymmetry_window_20_lag_5,0.0006436143606890927
121,sensor8_time_reversal_asymmetry_window_20_lag_5,5.607548645666455e-05
122,sensor9_time_reversal_asymmetry_window_20_lag_5,0.0017503320927255588
123,sensor11_time_reversal_asymmetry_window_20_lag_5,0.00019268180482455996
124,sensor12_time_reversal_asymmetry_window_20_lag_5,0.00011876552455095915
125,sensor13_time_reversal_asymmetry_window_20_lag_5,0.00040546677833212835
126,sensor14_time_reversal_asymmetry_window_20_lag_5,0.0011599146902142392
127,sensor17_time_reversal_asymmetry_window_20_lag_5,3.2293400219815314e-05
128,sensor20_time_reversal_asymmetry_window_20_lag_5,0.0002081428050101859
129,sensor21_time_reversal_asymmetry_window_20_lag_5,0.0010428709595490355
130,sensor2_log,0.04175092048402681
131,sensor3_log,0.00019739426488860746
132,sensor4_log,0.005102381758526161
133,sensor7_log,0.00269725678261961
134,sensor8_log,0.0
135,sensor9_log,0.0002976785442966751
136,sensor11_log,2.081884980465383e-05
137,sensor12_log,1.1699092040778645e-05
138,sensor13_log,8.983802745494856e-05
139,sensor14_log,0.00021096500850809234
140,sensor17_log,0.009358436057417527
141,sensor20_log,0.002232630517767155
142,sensor21_log,0.00880935146462202
143,sensor2_diff_lag_20,0.00014854565320985102
144,sensor3_diff_lag_20,0.001130140473597737
145,sensor4_diff_lag_20,0.0027929676808824953
146,sensor7_diff_lag_20,0.0015952116120358864
147,sensor8_diff_lag_20,0.00023547077430277922
148,sensor9_diff_lag_20,0.012985835763660705
149,sensor11_diff_lag_20,0.15838619078017038
150,sensor12_diff_lag_20,0.0023997647415453967
151,sensor13_diff_lag_20,0.009453423209644282
152,sensor14_diff_lag_20,0.002495109942813917
153,sensor17_diff_lag_20,6.504209016874941e-05
154,sensor20_diff_lag_20,0.0012771471714966409
155,sensor21_diff_lag_20,0.00017404563846673522
156,sensor2_gamma_lag_20,0.00020460769215311235
157,sensor3_gamma_lag_20,7.675497424895585e-06
158,sensor4_gamma_lag_20,0.000912248500254066
159,sensor7_gamma_lag_20,0.0004558119399364358
160,sensor8_gamma_lag_20,0.0002774175372673612
161,sensor9_gamma_lag_20,0.00027338006809264046
162,sensor11_gamma_lag_20,0.0004005716622846155
163,sensor12_gamma_lag_20,0.00012658746007770713
164,sensor13_gamma_lag_20,0.0009294841533395552
165,sensor14_gamma_lag_20,0.0007793474888952059
166,sensor17_gamma_lag_20,0.00011799289624819418
167,sensor20_gamma_lag_20,0.0023483582156095086
168,sensor21_gamma_lag_20,0.0004031334741245957
