,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error
0,39.40664758682251,0.7183443383923683,6.557298183441162,0.2527549175300525,0.5,scale,sigmoid,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'sigmoid'}",-41.5238426516948,-39.161787084217956,-41.435987309812205,-43.10404492601135,-44.74627739225165,-41.99435957953675,1.8633361794118897,9
1,36.20428438186646,0.5241012429926052,5.9184752941131595,0.11357102631332669,0.5,scale,poly,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'poly'}",-41.419982117542354,-39.09550458735687,-41.324393891760536,-43.03248194955534,-44.664083198380695,-41.907259847792865,1.8627059837856026,3
2,39.96032404899597,0.4375859654936372,6.832020950317383,0.08594227220902656,0.5,scale,rbf,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",-41.49431149052532,-39.140796243223605,-41.40548368539198,-43.08249310760304,-44.72267865821049,-41.96912408542175,1.863504920288322,6
3,39.241751956939694,2.0231555195523594,6.639694595336914,0.07475638349531992,0.9,scale,sigmoid,"{'C': 0.9, 'gamma': 'scale', 'kernel': 'sigmoid'}",-41.52281457888174,-39.16137910877812,-41.43499964713887,-43.10323997686251,-44.74544001561397,-41.993546359274625,1.8632281468057184,8
4,37.15023264884949,1.784030400637975,5.846493434906006,0.17936190197190086,0.9,scale,poly,"{'C': 0.9, 'gamma': 'scale', 'kernel': 'poly'}",-41.335171792349556,-39.04207061442823,-41.234131494645936,-42.97447472507458,-44.5976122025781,-41.836662010059555,1.8622982114947715,2
5,45.50567412376404,0.6699405542854241,7.8291871547698975,0.8355892793077555,0.9,scale,rbf,"{'C': 0.9, 'gamma': 'scale', 'kernel': 'rbf'}",-41.46965848877666,-39.12359559498838,-41.380093123182355,-43.06445665919871,-44.70296229433993,-41.94812446084212,1.8635399843228029,5
6,46.1510977268219,3.3090605983686867,7.863252210617065,1.1236024078390263,1,scale,sigmoid,"{'C': 1, 'gamma': 'scale', 'kernel': 'sigmoid'}",-41.52255756067845,-39.16127711491817,-41.43475273147047,-43.10303873957531,-44.74523067145461,-41.993343054209085,1.8632011417253749,7
7,35.856671524047854,4.8329748157379395,5.115813589096069,0.2925103709114869,1,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",-41.314078179170195,-39.028712121196,-41.21156589536714,-42.959972918954335,-44.58143641010777,-41.819122735472845,1.862339206250933,1
8,37.144707155227664,7.371505893111399,6.024846744537354,1.3496356815411596,1,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",-41.46349523833948,-39.119295432929476,-41.373745482630014,-43.05995284575893,-44.69803320337227,-41.94287561436574,1.8635503494410273,4
