,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,param_objective,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,18.064277553558348,0.13160615169999057,0.048590469360351565,0.008626366614462444,3,50,reg:gamma,"{'max_depth': 3, 'n_estimators': 50, 'objective': 'reg:gamma'}",-48.11418235747506,-39.167342646767665,-44.66886966866824,-50.56262708538208,-52.86237844083989,-47.07514251967252,4.796897042044829,7
1,18.246015977859496,0.3520901876308554,0.053897953033447264,0.022484724129109318,3,50,reg:squarederror,"{'max_depth': 3, 'n_estimators': 50, 'objective': 'reg:squarederror'}",-10.053123746578995,-10.378747265380474,-10.460669375154103,-12.685705992376954,-12.77484358840869,-11.270544787263507,1.199910316634374,6
2,37.91219601631165,1.1933881301549927,0.050813817977905275,0.013748520191129559,3,100,reg:gamma,"{'max_depth': 3, 'n_estimators': 100, 'objective': 'reg:gamma'}",-10.169371171059435,-9.646061204542859,-10.65809236825973,-12.319283127390891,-12.714160977873975,-11.101337728541104,1.2055929535669716,5
3,35.347600317001344,0.26892096454239617,0.05103049278259277,0.009126278494705728,3,100,reg:squarederror,"{'max_depth': 3, 'n_estimators': 100, 'objective': 'reg:squarederror'}",-9.747216512033951,-10.132527244374183,-10.132217394180206,-12.326822839511566,-12.218858988544557,-10.911458587185589,1.1208917916877168,4
4,26.093217849731445,3.823857438784952,0.10043544769287109,0.06429316556885087,4,50,reg:gamma,"{'max_depth': 4, 'n_estimators': 50, 'objective': 'reg:gamma'}",-48.11135901946134,-39.19292952938386,-44.76764545432612,-50.54472727020973,-52.9039731467332,-47.10418744755694,4.7860228033437835,8
5,31.759365034103393,2.65826469636349,0.05640597343444824,0.03286445651867979,4,50,reg:squarederror,"{'max_depth': 4, 'n_estimators': 50, 'objective': 'reg:squarederror'}",-9.701122222951414,-9.748964003318058,-9.979351492510169,-12.435512631038407,-11.863671197205944,-10.745661498865056,1.164230412845475,2
6,45.59117245674133,4.831438041338327,0.05301723480224609,0.010415226484281575,4,100,reg:gamma,"{'max_depth': 4, 'n_estimators': 100, 'objective': 'reg:gamma'}",-9.857401791985824,-9.552490567302062,-10.182469881789626,-12.383390005770044,-12.52665937388085,-10.900419605094983,1.2856078566471123,3
7,44.78757457733154,13.922474654814065,0.050337362289428714,0.020305167543564102,4,100,reg:squarederror,"{'max_depth': 4, 'n_estimators': 100, 'objective': 'reg:squarederror'}",-9.429440877478438,-9.791813573588898,-9.776086031252623,-12.075009808186229,-11.689714316961927,-10.552345398672145,1.1003664709616643,1
