,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,param_objective,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,17.55303225517273,0.29299638339306394,0.0469301700592041,0.0076227534337010945,3,50,<function custom_loss_train at 0x114d41680>,"{'max_depth': 3, 'n_estimators': 50, 'objective': <function custom_loss_train at 0x114d41680>}",-46.16229236462756,-38.5964723875633,-62.35439568784892,-69.32840975013328,-66.72595551127922,-56.632875520136785,12.088975295580642,9
1,42.81049342155457,6.8329330186873225,0.061150741577148435,0.012995588449334067,3,100,<function custom_loss_train at 0x114d41680>,"{'max_depth': 3, 'n_estimators': 100, 'objective': <function custom_loss_train at 0x114d41680>}",-47.829036536286964,-37.87765104505074,-55.95296969845828,-73.11545166631312,-65.35448383071734,-56.025425687707354,12.45473117517606,8
2,90.95176224708557,13.36534806564962,0.06423516273498535,0.016570624852953873,3,200,<function custom_loss_train at 0x114d41680>,"{'max_depth': 3, 'n_estimators': 200, 'objective': <function custom_loss_train at 0x114d41680>}",-46.606598784535144,-37.10889419135528,-42.745841362554486,-71.21037700549171,-64.14995138227975,-52.36398634033914,13.057014831486761,7
3,22.74566321372986,1.787223767054089,0.06416778564453125,0.0469376775332597,5,50,<function custom_loss_train at 0x114d41680>,"{'max_depth': 5, 'n_estimators': 50, 'objective': <function custom_loss_train at 0x114d41680>}",-50.477748089324685,-112.28077085539296,-57.51435701876108,-64.89610123053704,-66.2908572745893,-70.29077549099091,21.74410431600449,12
4,45.41257781982422,2.205791763085556,0.04768500328063965,0.006902111030568771,5,100,<function custom_loss_train at 0x114d41680>,"{'max_depth': 5, 'n_estimators': 100, 'objective': <function custom_loss_train at 0x114d41680>}",-51.523195692680964,-97.30091318925389,-54.531037796604586,-63.60898017584023,-67.94262498720217,-66.98042088995213,16.282074691690873,11
5,96.20174760818482,4.254439835184414,0.05901312828063965,0.004159601546741449,5,200,<function custom_loss_train at 0x114d41680>,"{'max_depth': 5, 'n_estimators': 200, 'objective': <function custom_loss_train at 0x114d41680>}",-50.15582483481064,-84.65552902020967,-46.402367045998716,-62.228412816691886,-68.17119285846896,-62.3219337392345,13.670751097674538,10
6,32.69068112373352,2.9289822492317814,0.05055418014526367,0.011335864440947939,7,50,<function custom_loss_train at 0x114d41680>,"{'max_depth': 7, 'n_estimators': 50, 'objective': <function custom_loss_train at 0x114d41680>}",-47.90280742621257,-36.66480513360582,-30.867555549927168,-62.48875416660266,-61.0247347308026,-47.78973820054175,12.659504006914396,2
7,63.854050636291504,1.7835881796319835,0.065372896194458,0.012006811129169504,7,100,<function custom_loss_train at 0x114d41680>,"{'max_depth': 7, 'n_estimators': 100, 'objective': <function custom_loss_train at 0x114d41680>}",-45.66673981982163,-39.09907673610239,-42.357667289732525,-61.97150761052133,-65.34801039252021,-50.888286386181804,10.68566097909277,6
8,136.60820183753967,3.9195412875167555,0.07937769889831543,0.02974121148929983,7,200,<function custom_loss_train at 0x114d41680>,"{'max_depth': 7, 'n_estimators': 200, 'objective': <function custom_loss_train at 0x114d41680>}",-41.9256808498904,-40.63939444859631,-43.02095666245495,-48.770324374841984,-61.68854237955805,-47.20866206530433,7.754973590304013,1
9,39.66080241203308,2.115438606240349,0.05055279731750488,0.01418902171664063,9,50,<function custom_loss_train at 0x114d41680>,"{'max_depth': 9, 'n_estimators': 50, 'objective': <function custom_loss_train at 0x114d41680>}",-44.28837201338757,-33.473237943394814,-44.7365586419046,-61.71628788067896,-55.89801452053074,-48.02226967215861,9.858404289238859,3
10,74.43338251113892,0.8587777884972836,0.05312128067016601,0.003975004504155196,9,100,<function custom_loss_train at 0x114d41680>,"{'max_depth': 9, 'n_estimators': 100, 'objective': <function custom_loss_train at 0x114d41680>}",-45.5148220955161,-36.44948252330361,-49.78211329280613,-57.00676988391402,-58.394324955277895,-49.42926716561333,8.021200173551316,5
11,138.35199599266053,24.5641995149522,0.08325033187866211,0.04077339696037605,9,200,<function custom_loss_train at 0x114d41680>,"{'max_depth': 9, 'n_estimators': 200, 'objective': <function custom_loss_train at 0x114d41680>}",-46.969626003820906,-37.741584312625484,-48.465131944434084,-48.53049707832067,-59.54525515346626,-48.2503418861533,6.924738004650549,4
